"combo","graph","method","median_mae","datasets_count"
"aew__k4_sigma_corr0_5_sigma_dist1|gsmooth","aew__k4_sigma_corr0_5_sigma_dist1","gsmooth","0,126404760110704","4"
"knn__k5|heat_diffusion_temporal","knn__k5","heat_diffusion_temporal","0,135353759378275","4"
"vknng__alpha1_k4_k_max8_k_min2|heat_diffusion_temporal","vknng__alpha1_k4_k_max8_k_min2","heat_diffusion_temporal","0,135231424142169","4"
"knn__k3|heat_diffusion_temporal","knn__k3","heat_diffusion_temporal","0,136233441370035","4"
"knn__k5|directed_tv","knn__k5","directed_tv","0,146733893679556","4"
"knn__k3|tv","knn__k3","tv","0,133288258108954","4"
"knn__k5|gsmooth","knn__k5","gsmooth","0,130693712543978","4"
"gaussian__sigma1|trss","gaussian__sigma1","trss","0,130572333512029","4"
"gaussian__sigma1|gsp","gaussian__sigma1","gsp","0,130559759831342","4"
"aew__k4_sigma_corr0_5_sigma_dist1|wavelet_temporal","aew__k4_sigma_corr0_5_sigma_dist1","wavelet_temporal","0,139661675039009","4"
"knng__k4_sigma1|gsmooth","knng__k4_sigma1","gsmooth","0,130662192544457","4"
"vknng__alpha1_k4_k_max8_k_min2|gsmooth","vknng__alpha1_k4_k_max8_k_min2","gsmooth","0,130711797320559","4"
"vknng__alpha1_k4_k_max8_k_min2|directed_tv","vknng__alpha1_k4_k_max8_k_min2","directed_tv","0,15508691893338","4"
"aew__k4_sigma_corr0_5_sigma_dist1|tv","aew__k4_sigma_corr0_5_sigma_dist1","tv","0,13388641845547","4"
"nnk__k4|gsmooth","nnk__k4","gsmooth","0,131423781226378","4"
"knn__k3|gsmooth","knn__k3","gsmooth","0,13204067855143","4"
"nnk__k4|tv","nnk__k4","tv","0,134362299068646","4"
"knng__k4_sigma1|directed_tv","knng__k4_sigma1","directed_tv","0,158933883252227","4"
"knn__k5|idw","knn__k5","idw","0,131749665900742","4"
"gaussian__sigma1|idw","gaussian__sigma1","idw","0,131749665900742","4"
"vknng__alpha1_k4_k_max8_k_min2|idw","vknng__alpha1_k4_k_max8_k_min2","idw","0,131749665900742","4"
"nnk__k4|idw","nnk__k4","idw","0,131749665900742","4"
"aew__k4_sigma_corr0_5_sigma_dist1|idw","aew__k4_sigma_corr0_5_sigma_dist1","idw","0,131749665900742","4"
"knng__k4_sigma1|idw","knng__k4_sigma1","idw","0,131749665900742","4"
"knn__k3|idw","knn__k3","idw","0,131749665900742","4"
"kalofolias|idw","kalofolias","idw","0,131749665900742","4"
"nnk__k4|wavelet_temporal","nnk__k4","wavelet_temporal","0,145902781847808","4"
"knn__k3|directed_tv","knn__k3","directed_tv","0,164572598770198","4"
"nnk__k4|trss","nnk__k4","trss","0,141244623458349","4"
"kalofolias|gsmooth","kalofolias","gsmooth","0,139885781371636","4"
"knn__k5|trss","knn__k5","trss","0,14065127328314","4"
"knn__k5|gsp","knn__k5","gsp","0,141164042486909","4"
"knng__k4_sigma1|trss","knng__k4_sigma1","trss","0,143506867837616","4"
"knng__k4_sigma1|wavelet_temporal","knng__k4_sigma1","wavelet_temporal","0,153258444426244","4"
"knn__k3|wavelet_temporal","knn__k3","wavelet_temporal","0,153839572988435","4"
"vknng__alpha1_k4_k_max8_k_min2|trss","vknng__alpha1_k4_k_max8_k_min2","trss","0,144699594915442","4"
"aew__k4_sigma_corr0_5_sigma_dist1|gsp","aew__k4_sigma_corr0_5_sigma_dist1","gsp","0,14173093917692","4"
"nnk__k4|directed_tv","nnk__k4","directed_tv","0,174932261178372","4"
"vknng__alpha1_k4_k_max8_k_min2|wavelet_temporal","vknng__alpha1_k4_k_max8_k_min2","wavelet_temporal","0,155273449352818","4"
"aew__k4_sigma_corr0_5_sigma_dist1|directed_tv","aew__k4_sigma_corr0_5_sigma_dist1","directed_tv","0,168832526387607","4"
"vknng__alpha1_k4_k_max8_k_min2|gsp","vknng__alpha1_k4_k_max8_k_min2","gsp","0,14618833037078","4"
"knn__k5|wavelet_temporal","knn__k5","wavelet_temporal","0,156453186375832","4"
"knng__k4_sigma1|gsp","knng__k4_sigma1","gsp","0,146490811222589","4"
"knn__k3|trss","knn__k3","trss","0,148613200596255","4"
"gaussian__sigma1|wavelet_temporal","gaussian__sigma1","wavelet_temporal","0,159709652416009","4"
"knn__k3|gsp","knn__k3","gsp","0,152160484338387","4"
"aew__k4_sigma_corr0_5_sigma_dist1|tikhonov","aew__k4_sigma_corr0_5_sigma_dist1","tikhonov","0,153555010525299","4"
"kalofolias|wavelet_temporal","kalofolias","wavelet_temporal","0,166444953093706","4"
"nnk__k4|gsp","nnk__k4","gsp","0,150470685994018","4"
"vknng__alpha1_k4_k_max8_k_min2|linear","vknng__alpha1_k4_k_max8_k_min2","linear","0,169744893997533","4"
"knn__k5|linear","knn__k5","linear","0,169744893997533","4"
"gaussian__sigma1|linear","gaussian__sigma1","linear","0,169744893997533","4"
"aew__k4_sigma_corr0_5_sigma_dist1|linear","aew__k4_sigma_corr0_5_sigma_dist1","linear","0,169744893997533","4"
"nnk__k4|linear","nnk__k4","linear","0,169744893997533","4"
"kalofolias|linear","kalofolias","linear","0,169744893997533","4"
"knng__k4_sigma1|linear","knng__k4_sigma1","linear","0,169744893997533","4"
"knn__k3|linear","knn__k3","linear","0,169744893997533","4"
"kalofolias|trss","kalofolias","trss","0,168683816113733","4"
"nnk__k4|tikhonov","nnk__k4","tikhonov","0,180320185865971","4"
"aew__k4_sigma_corr0_5_sigma_dist1|puy","aew__k4_sigma_corr0_5_sigma_dist1","puy","0,170884517904717","4"
"knng__k4_sigma1|nearest","knng__k4_sigma1","nearest","0,176866753520729","4"
"knn__k5|nearest","knn__k5","nearest","0,176866753520729","4"
"kalofolias|nearest","kalofolias","nearest","0,176866753520729","4"
"gaussian__sigma1|nearest","gaussian__sigma1","nearest","0,176866753520729","4"
"aew__k4_sigma_corr0_5_sigma_dist1|nearest","aew__k4_sigma_corr0_5_sigma_dist1","nearest","0,176866753520729","4"
"nnk__k4|nearest","nnk__k4","nearest","0,176866753520729","4"
"vknng__alpha1_k4_k_max8_k_min2|nearest","vknng__alpha1_k4_k_max8_k_min2","nearest","0,176866753520729","4"
"knn__k3|nearest","knn__k3","nearest","0,176866753520729","4"
"kalofolias|gsp","kalofolias","gsp","0,183752970661687","4"
"nnk__k4|rbfi_tps","nnk__k4","rbfi_tps","0,183393548660453","4"
"knng__k4_sigma1|rbfi_tps","knng__k4_sigma1","rbfi_tps","0,183393548660453","4"
"knn__k3|rbfi_tps","knn__k3","rbfi_tps","0,183393548660453","4"
"vknng__alpha1_k4_k_max8_k_min2|rbfi_tps","vknng__alpha1_k4_k_max8_k_min2","rbfi_tps","0,183393548660453","4"
"knn__k5|rbfi_tps","knn__k5","rbfi_tps","0,183393548660453","4"
"aew__k4_sigma_corr0_5_sigma_dist1|rbfi_tps","aew__k4_sigma_corr0_5_sigma_dist1","rbfi_tps","0,183393548660453","4"
"kalofolias|rbfi_tps","kalofolias","rbfi_tps","0,183393548660453","4"
"gaussian__sigma1|rbfi_tps","gaussian__sigma1","rbfi_tps","0,183393548660453","4"
"knn__k5|rbfi_mq","knn__k5","rbfi_mq","0,190120089820385","4"
"vknng__alpha1_k4_k_max8_k_min2|rbfi_mq","vknng__alpha1_k4_k_max8_k_min2","rbfi_mq","0,190120089820385","4"
"knng__k4_sigma1|rbfi_mq","knng__k4_sigma1","rbfi_mq","0,190120089820385","4"
"nnk__k4|rbfi_mq","nnk__k4","rbfi_mq","0,190120089820385","4"
"aew__k4_sigma_corr0_5_sigma_dist1|rbfi_mq","aew__k4_sigma_corr0_5_sigma_dist1","rbfi_mq","0,190120089820385","4"
"knn__k3|rbfi_mq","knn__k3","rbfi_mq","0,190120089820385","4"
"kalofolias|rbfi_mq","kalofolias","rbfi_mq","0,190120089820385","4"
"gaussian__sigma1|rbfi_mq","gaussian__sigma1","rbfi_mq","0,190120089820385","4"
